species,street,street_complete,risque_extinction_globale,risque_extinction_locale
Capsella bursa-pastoris,BARO,BARO-1,0,"0,587708258507197"
Capsella bursa-pastoris,BARO,BARO-2,0,"0,745933111393043"
Capsella bursa-pastoris,BERC,BERC-1,0,"0,729378582458012"
Capsella bursa-pastoris,BERC,BERC-2,"0,114972114972115","0,876077947476527"
Capsella bursa-pastoris,CHAR,CHAR-1,0,"0,514249874747117"
Capsella bursa-pastoris,CHAR,CHAR-2,0,"0,695743745807975"
Capsella bursa-pastoris,DAUM,DAUM-1,0,"0,506708554570051"
Capsella bursa-pastoris,DAUM,DAUM-2,0,"0,80897788069107"
Capsella bursa-pastoris,DAUM,DAUM-3,0,"0,816335232356824"
Capsella bursa-pastoris,KESS,KESS-1,0,"0,539318796154606"
Capsella bursa-pastoris,KESS,KESS-2,0,"0,566283157824047"
Capsella bursa-pastoris,POMM,POMM-1,"0,288288288288288","0,880712898489834"
Capsella bursa-pastoris,POMM,POMM-2,"0,15958815958816","0,854855536937882"
Capsella bursa-pastoris,RBER,RBER-1,0,"0,781038211547916"
Capsella bursa-pastoris,RBER,RBER-2,0,"0,753352979129322"
Capsella bursa-pastoris,REUI,REUI-1,0,"0,793212355019102"
Chenopodium album,BARO,BARO-1,"0,95784","0,705335984915164"
Chenopodium album,BERC,BERC-1,"0,05652","0,583812390149809"
Chenopodium album,RAPE,RAPE-1,1,"0,801281073229603"
Chenopodium album,REUI,REUI-1,"0,99776","0,748337353621747"
Conyza,BARO,BARO-1,0,"0,763199715381617"
Conyza,BARO,BARO-2,0,"0,793526496712823"
Conyza,BERC,BERC-1,0,"0,741298772697964"
Conyza,BERC,BERC-2,0,"0,69023039879037"
Conyza,CHAR,CHAR-1,"0,002203967140854","0,849920730631957"
Conyza,DAUM,DAUM-1,0,"0,835650087078292"
Conyza,DAUM,DAUM-2,0,"0,82644404600558"
Conyza,DAUM,DAUM-3,0,"0,768063229396999"
Conyza,KESS,KESS-1,"0,369865758365057","0,881684361220066"
Conyza,KESS,KESS-2,"0,396313364055299","0,884168479425072"
Conyza,MONT,MONT,0,"0,562014106965943"
Conyza,POMM,POMM-1,0,"0,669640276376363"
Conyza,POMM,POMM-2,0,"0,704949012056037"
Conyza,RAPE,RAPE-1,0,"0,69726006720828"
Conyza,RAPE,RAPE-2,0,"0,704003867184722"
Conyza,RBER,RBER-1,"0,224403927068724","0,872012557336998"
Conyza,RBER,RBER-2,0,"0,62286093456591"
Conyza,REUI,REUI-1,0,"0,775135717268273"
Conyza,REUI,REUI-2,"0,000200360649169","0,827390124535626"
Conyza,TAIN,TAIN-1,0,"0,755763095281192"
Hordeum murinum,BARO,BARO-1,0,"0,350614436880382"
Hordeum murinum,BARO,BARO-2,0,"0,722796999895964"
Hordeum murinum,BERC,BERC-1,0,"0,348725634921756"
Hordeum murinum,BERC,BERC-2,0,"0,514357837715119"
Hordeum murinum,CHAR,CHAR-1,0,"0,293182157335265"
Hordeum murinum,CHAR,CHAR-2,0,"0,546243430137507"
Hordeum murinum,DAUM,DAUM-1,0,"0,606434664273774"
Hordeum murinum,DAUM,DAUM-2,0,"0,710190307044083"
Hordeum murinum,DAUM,DAUM-3,0,"0,539352777886741"
Hordeum murinum,KESS,KESS-1,0,"0,262886882650251"
Hordeum murinum,KESS,KESS-2,0,"0,28925174596087"
Hordeum murinum,RAPE,RAPE-1,0,"0,624031795565801"
Hordeum murinum,RBER,RBER-1,0,"0,680897026827364"
Hordeum murinum,RBER,RBER-2,"0,249399327246516","0,864733388488103"
Hordeum murinum,REUI,REUI-1,0,"0,271306523339039"
Hordeum murinum,REUI,REUI-2,0,"0,368994366863935"
Lactuca serriola,BARO,BARO-1,"0,967938237965486","0,868835397775247"
Plantago lanceolata,RAPE,RAPE-1,1,"0,725211717030305"
Plantago major,BARO,BARO-1,"0,952688904016338","0,849946509214238"
Plantago major,POMM,POMM-2,"0,734683458134786","0,822433366605113"
Plantago major,RAPE,RAPE-1,1,"0,878327139220109"
